,msa,element_1,skills_lq_1
0,C1018,1111,0.0
1,C1018,1112,0.0
2,C1018,1113,0.0
3,C1018,1114,0.0
4,C1018,1119,3.1566318145673993
5,C1018,1121,6.462021221978423
6,C1018,1122,0.0
7,C1018,1123,0.0
8,C1018,1124,0.0
9,C1018,1125,0.0
10,C1018,1129,0.0
11,C1018,1131,0.0
12,C1018,1132,0.0
13,C1018,1133,0.0
14,C1018,1141,0.0
15,C1018,1142,0.0
16,C1018,1151,0.0
17,C1018,1152,0.0
18,C1018,1153,0.0
19,C1018,2111,7.951011051741524
20,C1018,2121,0.0
21,C1018,2122,0.0
22,C1018,2123,13.981684451744176
23,C1018,2131,24.12563448707205
24,C1018,2211,0.0
25,C1018,2212,0.0
26,C1018,2213,0.0
27,C1018,2361,0.0
28,C1018,2362,0.0
29,C1018,2371,0.0
30,C1018,2372,0.0
31,C1018,2373,4.371034997795021
32,C1018,2379,0.0
33,C1018,2381,1.270541931686658
34,C1018,2382,2.2951035743585213
35,C1018,2383,0.0
36,C1018,2389,0.0
37,C1018,3111,0.0
38,C1018,3112,0.0
39,C1018,3113,0.9767631342960117
40,C1018,3114,0.0
41,C1018,3115,0.0
42,C1018,3116,0.0
43,C1018,3117,0.0
44,C1018,3118,0.0
45,C1018,3119,0.0
46,C1018,3121,0.0
47,C1018,3122,0.0
48,C1018,3131,0.0
49,C1018,3132,0.0
50,C1018,3133,0.0
51,C1018,3141,0.0
52,C1018,3149,0.0
53,C1018,3151,0.0
54,C1018,3152,0.0
55,C1018,3159,0.0
56,C1018,3161,0.0
57,C1018,3162,0.0
58,C1018,3169,0.0
59,C1018,3211,0.0
60,C1018,3212,0.0
61,C1018,3219,0.0
62,C1018,3221,0.0
63,C1018,3222,0.0
64,C1018,3231,0.9482676937011535
65,C1018,3241,0.0
66,C1018,3251,0.0
67,C1018,3252,0.0
68,C1018,3253,0.0
69,C1018,3254,0.0
70,C1018,3255,0.0
71,C1018,3256,0.0
72,C1018,3259,0.0
73,C1018,3261,0.0
74,C1018,3262,0.0
75,C1018,3271,0.0
76,C1018,3272,0.0
77,C1018,3273,2.329415210178578
78,C1018,3274,0.0
79,C1018,3279,0.0
80,C1018,3311,0.0
81,C1018,3312,0.0
82,C1018,3313,0.0
83,C1018,3314,0.0
84,C1018,3315,0.0
85,C1018,3321,0.0
86,C1018,3322,0.0
87,C1018,3323,0.0
88,C1018,3324,12.310418459446854
89,C1018,3325,0.0
90,C1018,3326,0.0
91,C1018,3327,0.8643420261435538
92,C1018,3328,0.0
93,C1018,3329,1.032129626635292
94,C1018,3331,0.0
95,C1018,3332,0.0
96,C1018,3333,0.0
97,C1018,3334,0.0
98,C1018,3335,0.0
99,C1018,3336,0.0
100,C1018,3339,0.0
101,C1018,3341,0.0
102,C1018,3342,0.0
103,C1018,3343,0.0
104,C1018,3344,0.0
105,C1018,3345,0.0
106,C1018,3346,0.0
107,C1018,3351,0.0
108,C1018,3352,0.0
109,C1018,3353,0.0
110,C1018,3359,0.0
111,C1018,3361,0.0
112,C1018,3362,0.0
113,C1018,3363,0.0
114,C1018,3364,0.0
115,C1018,3365,0.0
116,C1018,3366,0.0
117,C1018,3369,0.0
118,C1018,3371,0.0
119,C1018,3372,0.0
120,C1018,3379,0.0
121,C1018,3391,0.0
122,C1018,3399,0.0
123,C1018,4231,0.0
124,C1018,4232,0.0
125,C1018,4233,0.0
126,C1018,4234,0.7864353499347225
127,C1018,4235,0.8260550997783325
128,C1018,4236,0.0
129,C1018,4237,0.0
130,C1018,4238,0.0
131,C1018,4239,1.5440907989049553
132,C1018,4241,1.1380664258184254
133,C1018,4242,0.0
134,C1018,4243,0.0
135,C1018,4244,1.9127227135594929
136,C1018,4245,0.0
137,C1018,4246,0.0
138,C1018,4247,0.0
139,C1018,4248,0.0
140,C1018,4249,0.0
141,C1018,4251,0.0
142,C1018,4411,0.0
143,C1018,4412,2.6282909591787242
144,C1018,4413,0.0
145,C1018,4421,0.0
146,C1018,4422,1.0565835210536036
147,C1018,4431,0.0
148,C1018,4441,2.744677026151845
149,C1018,4442,7.841293068229334
150,C1018,4451,1.7506449243892412
151,C1018,4452,0.28567592899037153
152,C1018,4453,2.255013105840192
153,C1018,4461,1.7523204866749151
154,C1018,4471,3.7902956810386144
155,C1018,4481,1.24656763518533
156,C1018,4482,1.3874320990138345
157,C1018,4483,1.371584643805525
158,C1018,4511,0.0
159,C1018,4512,4.40459326950975
160,C1018,4522,3.448955391362899
161,C1018,4523,2.5177818883232446
162,C1018,4531,0.0
163,C1018,4532,0.0
164,C1018,4533,0.5880532306464746
165,C1018,4539,2.6708480995786084
166,C1018,4541,0.0
167,C1018,4542,0.0
168,C1018,4543,0.0
169,C1018,4811,0.0
170,C1018,4812,0.0
171,C1018,4821,0.0
172,C1018,4831,0.0
173,C1018,4832,0.0
174,C1018,4841,2.1807664565329365
175,C1018,4842,0.0
176,C1018,4851,0.0
177,C1018,4852,0.0
178,C1018,4853,0.0
179,C1018,4854,0.0
180,C1018,4855,0.0
181,C1018,4859,0.0
182,C1018,4861,0.0
183,C1018,4862,0.0
184,C1018,4869,0.0
185,C1018,4871,0.0
186,C1018,4872,0.0
187,C1018,4879,0.0
188,C1018,4881,5.448116108002999
189,C1018,4882,0.0
190,C1018,4883,0.0
191,C1018,4884,2.1329035044351827
192,C1018,4885,0.0
193,C1018,4889,0.0
194,C1018,4911,0.0
195,C1018,4921,0.0
196,C1018,4922,0.0
197,C1018,4931,0.08585272972309563
198,C1018,5111,0.0
199,C1018,5112,0.0
200,C1018,5121,0.0
201,C1018,5122,0.0
202,C1018,5151,5.611108291711788
203,C1018,5152,0.0
204,C1018,5173,0.0
205,C1018,5174,0.0
206,C1018,5179,0.0
207,C1018,5182,0.0
208,C1018,5191,0.0
209,C1018,5211,0.0
210,C1018,5221,0.0
211,C1018,5222,0.0
212,C1018,5223,0.0
213,C1018,5231,0.0
214,C1018,5232,0.0
215,C1018,5239,0.0
216,C1018,5241,0.0
217,C1018,5242,0.0
218,C1018,5251,0.0
219,C1018,5259,0.0
220,C1018,5311,2.066348651855485
221,C1018,5312,0.0
222,C1018,5313,0.0
223,C1018,5321,0.0
224,C1018,5322,0.0
225,C1018,5323,0.0
226,C1018,5324,0.0
227,C1018,5331,1.1361742762604246
228,C1018,5411,0.0
229,C1018,5412,0.0
230,C1018,5413,1.474716227653839
231,C1018,5414,0.0
232,C1018,5415,0.0
233,C1018,5416,0.47106009535988497
234,C1018,5417,0.0
235,C1018,5418,0.0
236,C1018,5419,0.0
237,C1018,5511,0.0
238,C1018,5611,2.4667603979007926
239,C1018,5612,0.0
240,C1018,5613,0.5039570337246017
241,C1018,5614,0.0
242,C1018,5615,0.0
243,C1018,5616,0.0
244,C1018,5617,0.0
245,C1018,5619,1.3526793133793333
246,C1018,5621,1.6436252231189536
247,C1018,5622,4.016393145274901
248,C1018,5629,0.0
249,C1018,6111,0.6043402971115202
250,C1018,6112,0.0
251,C1018,6113,5.848166304827836
252,C1018,6114,0.37762985396538107
253,C1018,6115,5.335440893463197
254,C1018,6116,1.4502241092293038
255,C1018,6117,0.2740414052515605
256,C1018,6211,2.9788651388822633
257,C1018,6212,0.0
258,C1018,6213,0.0
259,C1018,6214,0.0
260,C1018,6215,1.2838273009054917
261,C1018,6216,0.0
262,C1018,6219,5.739553838525958
263,C1018,6221,0.0
264,C1018,6222,0.0
265,C1018,6223,0.0
266,C1018,6231,0.0
267,C1018,6232,0.0
268,C1018,6233,0.0
269,C1018,6239,8.885032016761537
270,C1018,6241,0.94228220882414
271,C1018,6242,0.0
272,C1018,6243,0.0
273,C1018,6244,1.560800486649336
274,C1018,7111,0.0
275,C1018,7112,0.39971140834648333
276,C1018,7113,0.0
277,C1018,7114,0.0
278,C1018,7115,0.0
279,C1018,7121,0.0
280,C1018,7131,0.0
281,C1018,7132,0.0
282,C1018,7139,0.0
283,C1018,7211,1.5271568657449406
284,C1018,7212,0.0
285,C1018,7213,0.0
286,C1018,7223,1.9239017473150641
287,C1018,7224,2.141831891644337
288,C1018,7225,2.140447947879786
289,C1018,8111,2.5034610113246036
290,C1018,8112,2.722994024487239
291,C1018,8113,4.0891318399088865
292,C1018,8114,2.729232795049485
293,C1018,8121,0.0
294,C1018,8122,3.889613445821937
295,C1018,8123,0.0
296,C1018,8129,0.8236592283476084
297,C1018,8131,0.0
298,C1018,8132,2.813126560837052
299,C1018,8133,0.0
300,C1018,8134,0.0
301,C1018,8139,0.5515446734647086
302,C1018,8141,0.0
303,C1018,9999,3.0718480188899533
304,C1038,1111,0.0
305,C1038,1112,7.837098314362199
306,C1038,1113,22.325528349410117
307,C1038,1114,1.582378832816124
308,C1038,1119,0.0
309,C1038,1121,17.637719004019782
310,C1038,1122,13.39588785713998
311,C1038,1123,0.0
312,C1038,1124,0.0
313,C1038,1125,0.0
314,C1038,1129,0.0
315,C1038,1131,0.0
316,C1038,1132,0.0
317,C1038,1133,0.0
318,C1038,1141,0.0
319,C1038,1142,0.0
320,C1038,1151,0.1788395973183425
321,C1038,1152,0.0
322,C1038,1153,0.0
323,C1038,2111,0.0
324,C1038,2121,0.0
325,C1038,2122,0.0
326,C1038,2123,0.0
327,C1038,2131,0.0
328,C1038,2211,0.0
329,C1038,2212,0.0
330,C1038,2213,0.0
331,C1038,2361,3.899018506756041
332,C1038,2362,0.0
333,C1038,2371,1.368811915741031
334,C1038,2372,0.0
335,C1038,2373,0.0
336,C1038,2379,0.0
337,C1038,2381,0.0447296146729993
338,C1038,2382,0.3613547896441672
339,C1038,2383,0.1661297151705547
340,C1038,2389,0.14466897469606718
341,C1038,3111,0.0
342,C1038,3112,0.0
343,C1038,3113,0.0
344,C1038,3114,0.0
345,C1038,3115,10.118126611567677
346,C1038,3116,2.2474539998333123
347,C1038,3117,0.0
348,C1038,3118,0.0
349,C1038,3119,1.0769634766404903
350,C1038,3121,0.0
351,C1038,3122,0.0
352,C1038,3131,0.0
353,C1038,3132,0.0
354,C1038,3133,0.0
355,C1038,3141,0.0
356,C1038,3149,0.0
357,C1038,3151,0.0
358,C1038,3152,0.0
359,C1038,3159,0.0
360,C1038,3161,0.0
361,C1038,3162,0.0
362,C1038,3169,0.0
363,C1038,3211,0.0
364,C1038,3212,0.0
365,C1038,3219,0.9510732017543885
366,C1038,3221,0.0
367,C1038,3222,0.0
368,C1038,3231,1.4330349453112718
369,C1038,3241,0.0
370,C1038,3251,0.0
371,C1038,3252,0.0
372,C1038,3253,0.0
373,C1038,3254,0.0
374,C1038,3255,0.0
375,C1038,3256,0.0
376,C1038,3259,0.0
377,C1038,3261,0.0
378,C1038,3262,0.0
379,C1038,3271,0.0
380,C1038,3272,0.0
381,C1038,3273,4.379195343084339
382,C1038,3274,0.0
383,C1038,3279,0.0
384,C1038,3311,0.0
385,C1038,3312,0.0
386,C1038,3313,0.0
387,C1038,3314,0.0
388,C1038,3315,0.0
389,C1038,3321,0.0
390,C1038,3322,0.0
391,C1038,3323,0.7936171828524691
392,C1038,3324,0.0
393,C1038,3325,0.0
394,C1038,3326,0.0
395,C1038,3327,0.07883951772575647
396,C1038,3328,0.0
397,C1038,3329,0.0
398,C1038,3331,0.0
399,C1038,3332,0.0
400,C1038,3333,0.0
401,C1038,3334,0.0
402,C1038,3335,0.0
403,C1038,3336,0.0
404,C1038,3339,0.0
405,C1038,3341,0.0
406,C1038,3342,0.0
407,C1038,3343,0.0
408,C1038,3344,0.0
409,C1038,3345,0.0
410,C1038,3346,0.0
411,C1038,3351,0.0
412,C1038,3352,0.0
413,C1038,3353,0.0
414,C1038,3359,0.0
415,C1038,3361,0.0
416,C1038,3362,0.0
417,C1038,3363,0.0
418,C1038,3364,0.0
419,C1038,3365,0.0
420,C1038,3366,0.0
421,C1038,3369,0.0
422,C1038,3371,1.393896817483901
423,C1038,3372,0.0
424,C1038,3379,0.0
425,C1038,3391,35.40576771056634
426,C1038,3399,0.5070119831157803
427,C1038,4231,0.5506131826438437
428,C1038,4232,0.819920956190902
429,C1038,4233,0.26798378961638464
430,C1038,4234,2.3435298534391253
431,C1038,4235,0.0
432,C1038,4236,0.0
433,C1038,4237,0.5113656793272148
434,C1038,4238,0.20085920834071042
435,C1038,4239,0.5164194545337272
436,C1038,4241,0.0
437,C1038,4242,0.5167880956231555
438,C1038,4243,0.0
439,C1038,4244,1.9603954513714876
440,C1038,4245,0.0
441,C1038,4246,0.0
442,C1038,4247,0.34890575221979364
443,C1038,4248,0.0
444,C1038,4249,0.8523299903523668
445,C1038,4251,0.19848157374181266
446,C1038,4411,0.8823736935263521
447,C1038,4412,0.0
448,C1038,4413,0.0
449,C1038,4421,2.4001806388154803
450,C1038,4422,0.0
451,C1038,4431,0.8992805032810488
452,C1038,4441,2.836715157045657
453,C1038,4442,1.7523146805428707
454,C1038,4451,3.8552781485449623
455,C1038,4452,2.436371936122431
456,C1038,4453,0.0
457,C1038,4461,5.498675059711164
458,C1038,4471,2.049899275110591
459,C1038,4481,2.855670688465926
460,C1038,4482,3.6889997530283343
461,C1038,4483,0.0
462,C1038,4511,0.0
463,C1038,4512,0.0
464,C1038,4522,0.0
465,C1038,4523,0.0
466,C1038,4531,0.0
467,C1038,4532,0.0
468,C1038,4533,0.0
469,C1038,4539,0.7513420235998529
470,C1038,4541,0.0
471,C1038,4542,0.0
472,C1038,4543,4.840705474844401
473,C1038,4811,0.0
474,C1038,4812,0.0
475,C1038,4821,0.0
476,C1038,4831,0.0
477,C1038,4832,0.0
478,C1038,4841,0.0
479,C1038,4842,0.0
480,C1038,4851,0.0
481,C1038,4852,0.0
482,C1038,4853,0.0
483,C1038,4854,1.4720361093321845
484,C1038,4855,0.0
485,C1038,4859,0.0
486,C1038,4861,0.0
487,C1038,4862,0.0
488,C1038,4869,0.0
489,C1038,4871,0.0
490,C1038,4872,0.0
491,C1038,4879,0.0
492,C1038,4881,3.0826624788079675
493,C1038,4882,0.0
494,C1038,4883,0.0
495,C1038,4884,0.21400416318418047
496,C1038,4885,0.0
497,C1038,4889,0.0
498,C1038,4911,0.0
499,C1038,4921,0.0
500,C1038,4922,0.0
501,C1038,4931,0.0
502,C1038,5111,0.0
503,C1038,5112,0.0
504,C1038,5121,0.0
505,C1038,5122,0.0
506,C1038,5151,0.0
507,C1038,5152,0.0
508,C1038,5173,0.9978696471948686
509,C1038,5174,0.0
510,C1038,5179,0.0
511,C1038,5182,0.0
512,C1038,5191,0.0
513,C1038,5211,0.0
514,C1038,5221,1.7529451672493723
515,C1038,5222,0.0
516,C1038,5223,0.0
517,C1038,5231,0.0
518,C1038,5232,0.0
519,C1038,5239,0.0
520,C1038,5241,0.5485563169923195
521,C1038,5242,0.0
522,C1038,5251,0.0
523,C1038,5259,0.0
524,C1038,5311,1.8175614768486372
525,C1038,5312,0.4061241455238938
526,C1038,5313,0.4054547436623853
527,C1038,5321,1.1105399809190117
528,C1038,5322,1.2463105692928078
529,C1038,5323,0.0
530,C1038,5324,0.0
531,C1038,5331,0.0
532,C1038,5411,0.0
533,C1038,5412,0.5942779117367588
534,C1038,5413,0.0
535,C1038,5414,0.0
536,C1038,5415,3.7086371367263973
537,C1038,5416,3.185809850528019
538,C1038,5417,0.0
539,C1038,5418,0.15149115301757893
540,C1038,5419,0.5062047529504241
541,C1038,5511,0.0
542,C1038,5611,0.6907020933944656
543,C1038,5612,0.0
544,C1038,5613,0.0
545,C1038,5614,0.0
